Transcript ID,Transcript Name,Raw Counts,Unique Reads,Ambiguous Reads,Multi-Mapped Reads,Percent of Reads from Ambig,Status,Group,Method
ENST00000376327,PLP2-202,5255.1,3982,1334,1273.1000000000004,0.2422598999067573,more_unique,Concordant,STAR
ENST00000218364,HTATSF1-201,4923.197,22,4993,4901.197,0.9955313589929471,more_multi,Concordant,STAR
ENST00000374315,SELENON-203,5874.476,0,7121,5874.476,1,all_ambig_reads,Discordant,STAR
ENST00000464888,HMGN2-204,330.79,11,3817,319.79,0.966746274071163,more_multi,Discordant,STAR
ENST00000262746,PRDX1-201,398.487,77,13408,321.487,0.8067691041363959,more_multi,Discordant,STAR
ENST00000358528,CSDE1-203,175.184,4,34945,171.184,0.9771668645538405,more_multi,Discordant,STAR
ENST00000369373,NBPF20-201,131.766,14,3659,117.76599999999999,0.8937510435165369,more_multi,Discordant,STAR
ENST00000369158,H3C14-201,8743.099,0,17628,8743.099,1,all_ambig_reads,Discordant,STAR
ENST00000368259,CCT3-204,203.807,7,20978,196.807,0.9656537802921391,more_multi,Discordant,STAR
ENST00000676972,NDUFS2-224,3371.601,0,3545,3371.601,1,all_ambig_reads,Discordant,STAR
ENST00000444376,HNRNPU-205,349.212,10,70795,339.212,0.9713640997445677,more_multi,Discordant,STAR
ENST00000679187,ITGB1-236,124.135,6,82884,118.135,0.9516655254360172,more_multi,Discordant,STAR
ENST00000678766,ITGB1-232,255.209,0,77809,255.209,1,all_ambig_reads,Discordant,STAR
ENST00000534599,RPL27A-212,96.002,20,18844,76.002,0.7916710068540239,more_multi,Discordant,STAR
ENST00000526562,RPL27A-204,1124.995,1,15569,1123.995,0.9991111071604762,more_multi,Discordant,STAR
ENST00000293880,SSRP1-202,938.606,670,17212,268.606,0.2861754559421099,more_unique,Discordant,STAR
ENST00000544844,TRMT112-206,3519.514,125,4563,3394.514,0.9644837326971849,more_multi,Discordant,STAR
ENST00000494593,GSTP1-205,309.166,226,3624,83.166,0.26900111913987956,more_unique,Discordant,STAR
ENST00000526248,RPS3-206,1201.462,57,34073,1144.462,0.9525578004131633,more_multi,Discordant,STAR
ENST00000278756,APLP2-202,74.434,3,20960,71.434,0.9596958379235295,more_multi,Discordant,STAR
ENST00000396861,GAPDH-205,566.497,106,182974,460.49699999999996,0.812885152083771,more_multi,Discordant,STAR
ENST00000466588,GAPDH-207,2640.136,1,149994,2639.136,0.9996212316335219,more_multi,Discordant,STAR
ENST00000619601,GAPDH-211,14548.237,706,167285,13842.237,0.9514717831445831,more_multi,Discordant,STAR
ENST00000423828,TMBIM6-203,123.343,6,43460,117.343,0.9513551640547092,more_multi,Discordant,STAR
